"Site","Date","Turbidity","TSS","ChlA","DOC","DTN","pH","ANC","SC","Na","NH4","K","Mg","Ca","F","Cl","NO3","PO4","SO4","FCW_Number","Year","site_code","data_source","Lat","Long","location","Campaign","watershed","status","Buffer_Level","Watershed_Level","distance_upstream_km","Time","Field_DO_mgL","Field_Cond_µS/cm","Field_Temp_C","dt"
"Long Draw Outlet",2021-09-08,7,2.65,1.2,4.38,0.29,6.93,296.38,51.7,1.1,0.04,0.58,0.9,6.92,0.27,0.16,0.46,0,8.52,998,2021,"LNGO","ROSS","40.50368571",-105.7709459,"Outflow","Longdraw","Long Draw Reservoir","Unburned",0,0,98.705,,,,,
"Long Draw Reservoir",2021-09-08,6,0.6,1.07,5.37,0.3,6.96,273.78,43.22,1.09,0.03,0.58,0.92,5.04,0.28,0.17,0.47,0,8.58,997,2021,"LNGR","ROSS","40.50087627",-105.7725307,"Reservoir","Longdraw","Long Draw Reservoir","Unburned",0,0,100.445,,,,,
"Peterson Outlet",2021-09-08,10,2.06,1.98,5.66,0.35,6.88,289.65,39.54,2.16,0.03,1.28,0.48,4.45,0.03,1.13,0.11,0,4.65,999,2021,"PTRO","ROSS","40.56063874",-105.7929021,"Outflow","Longdraw","Peterson Reservoir","Burned",0.32090379008746356,0.3055062638172439,91.236,,,,,
"Peterson Reservoir",2021-09-08,9.8,2,1.59,7.14,0.46,6.8,186.51,37.03,1.68,0.04,1.31,0.44,3.85,0.03,1.02,0.08,0,7.63,1000,2021,"PTRR","ROSS","40.55936515",-105.7940034,"Reservoir","Longdraw","Peterson Reservoir","Burned",0.32090379008746356,0.3055062638172439,91.236,,,,,
"Barnes Meadow Outflow",2021-09-15,10,5.8,1.16,6.53,0.58,7.05,407.25,64.67,2.53,0.38,1.44,1.17,6.64,0.05,1.69,0.17,0,7.93,1053,2021,"BMD","ROSS","40.600376",-105.836378,"Outflow","Chambers Complex","Barnes Meadow Reservoir","Burned",0.1845300397739167,0.4490768485927012,84.049,,,,,
"Barnes Meadow Reservoir",2021-09-15,5.4,6.12,3.2,6.29,0.31,7.27,457.45,73.96,2.62,0,1.39,1.08,9,0.06,1.72,0.01,0,11.09,1054,2021,"BRNR","ROSS","40.599908",-105.830604,"Reservoir","Chambers Complex","Barnes Meadow Reservoir","Burned",0.1845300397739167,0.4490768485927012,85.149,,,,,
"Chambers Inlet",2021-09-15,5.5,1.93,0.58,4.51,0.21,7.15,345.49,48.1,1.58,0.01,0.76,1.4,6.45,0.08,0.64,0.22,0,3.37,1051,2021,"CBRI","ROSS","40.57795281",-105.8572773,"Inflow","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.11067457970644089,90.13,,,,,
"Chambers Reservoir",2021-09-15,5.8,1.12,1.08,5.66,0.2,7.24,379.9,42.71,1.72,0.04,0.93,1.01,4.2,0.07,0.87,0.1,0,3.32,1055,2021,"CBRR","ROSS","40.603457",-105.845931,"Reservoir","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.19135067209931075,87.814,,,,,
"Chambers Outflow",2021-09-15,3.8,,1.37,4.55,0.2,7.27,411.76,52.83,1.73,0,0.95,1.08,5.47,0.07,0.59,0.07,0,3.3,1056,2021,"CHD","ROSS","40.60233229",-105.8427286,"Outflow","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.19135067209931075,86.049,,,,,
"Joe Wright Inlet",2021-09-15,2.5,0.6,0.16,4,0.12,7.63,644.45,71.18,3.24,0.01,0.75,1.69,7.01,0.1,1.98,0.16,0,3.36,1049,2021,"JOEI","ROSS","40.54013102",-105.8831698,"Inflow","Chambers Complex","Joe Wright Reservoir","Unburned",0.006530548628428928,0,95.264,,,,,
"Joe Wright Reservoir",2021-09-15,4.1,0.2,1.75,3.27,0.16,7.16,370.39,52.16,1.57,0.05,0.74,1.53,7,0.1,0.52,0.04,0,3.98,1050,2021,"JOER","ROSS","40.55593744",-105.8749619,"Reservoir","Chambers Complex","Joe Wright Reservoir","Partially Burned",0.006530548628428928,0.048734263332836585,93.218,,,,,
"Long Draw Outlet",2021-09-15,6.7,1.49,1.8,3.89,0.24,7.05,292.56,49.26,1.17,0.03,0.66,0.85,6.03,0.27,0.18,0.39,0,8.76,1046,2021,"LNGO","ROSS","40.50368571",-105.7709459,"Outflow","Longdraw","Long Draw Reservoir","Unburned",0,0,98.705,,,,,
"Long Draw Reservoir",2021-09-15,5.2,1.73,1.49,4.56,0.3,7.03,294.03,48.97,1.23,0.05,0.68,0.84,5.54,0.27,0.18,0.42,0,8.8,1045,2021,"LNGR","ROSS","40.50087627",-105.7725307,"Reservoir","Longdraw","Long Draw Reservoir","Unburned",0,0,100.445,,,,,
"Peterson Outlet",2021-09-15,13.5,5.96,1.64,4.21,0.31,7.18,338.97,47.43,2.52,0.13,1.45,0.55,4.72,0.05,1.17,0.16,0,4.23,1047,2021,"PTRO","ROSS","40.56063874",-105.7929021,"Outflow","Longdraw","Peterson Reservoir","Burned",0.32090379008746356,0.3055062638172439,91.236,,,,,
"Peterson Reservoir",2021-09-15,9,5.34,1.03,4.81,0.43,6.95,200.06,39.13,1.86,0.13,1.45,0.56,3.2,0.03,1.16,0.12,0,7.91,1048,2021,"PTRR","ROSS","40.55936515",-105.7940034,"Reservoir","Longdraw","Peterson Reservoir","Burned",0.32090379008746356,0.3055062638172439,91.236,,,,,
"Comanche Inflow",2021-09-21,2.1,0.38,0.17,2.34,0.19,6.95,211.21,28.83,2.06,0.02,0.38,0.61,3.14,0.02,0.4,0.49,0,1.96,1063,2021,"COMI","ROSS","40.5858963",-105.6626,"Inflow","South Fork","Comanche Reservoir","Burned",0.45576441102756887,0.173174601127291,72.236,,,,,
"Comanche Outflow",2021-09-21,10,4.9,2.68,2.45,0.24,6.74,253.07,35.43,2.32,0.01,0.49,0.64,3.95,0.03,0.45,0.21,0,2.36,1066,2021,"COMO","ROSS","40.5846048",-105.6440011,"Outflow","South Fork","Comanche Reservoir","Burned",0.45576441102756887,0.24966832476956524,61.499,,,,,
"Comanche Reservoir",2021-09-21,10.1,2.5,0.68,1.96,0.17,7.32,376.72,35.7,2.34,0.02,0.47,0.46,2.56,0.03,0.46,0.15,0,2.47,1064,2021,"COMR","ROSS","40.5853086",-105.6455009,"Reservoir","South Fork","Comanche Reservoir","Burned",0.45576441102756887,0.24966832476956524,70.774,,,,,
"Hourglass Inflow",2021-09-21,2.1,0.1,0.18,1.04,0.26,6.57,142.36,19.34,1.51,0.03,0.36,0.33,1.65,0.02,0.25,0.6,0,1.48,1065,2021,"HORI","ROSS","40.5805091",-105.6409321,"Inflow","South Fork","Hourglass Reservoir","Burned",0.40096867936712954,0.05085114281168797,61.499,,,,,
"Hourglass Outflow",2021-09-21,3.1,2.5,2.69,0.99,0.16,6.59,164.89,19.83,1.37,0.04,0.39,0.38,1.85,0.04,0.22,0.15,0,1.64,1068,2021,"HORO","ROSS","40.5828742",-105.6309523,"Outflow","South Fork","Hourglass Reservoir","Burned",0.40096867936712954,0.10162730589431843,61.499,,,,,
"Hourglass Reservoir",2021-09-21,3.5,0.58,3.02,1.51,0.16,6.57,160.61,19.82,1.38,0.01,0.38,0.27,1.64,0.04,0.21,0.13,0,1.62,1067,2021,"HORR","ROSS","40.582032",-105.6314023,"Reservoir","South Fork","Hourglass Reservoir","Burned",0.40096867936712954,0.10162730589431843,61.499,,,,,
"Barnes Meadow Outflow",2021-09-22,6.6,,0.96,6.96,0.57,7,317.14,51.09,2.39,0.34,1.18,1.09,4.31,0.07,1.91,0.06,0,6.53,1093,2021,"BMD","ROSS","40.600376",-105.836378,"Outflow","Chambers Complex","Barnes Meadow Reservoir","Burned",0.1845300397739167,0.4490768485927012,84.049,,,,,
"Barnes Meadow Reservoir",2021-09-22,4,,3.47,7.6,0.3,7.12,440.88,75.08,2.52,0.02,1.26,1.1,8.82,0.05,1.82,0,0,11.06,1094,2021,"BRNR","ROSS","40.599908",-105.830604,"Reservoir","Chambers Complex","Barnes Meadow Reservoir","Burned",0.1845300397739167,0.4490768485927012,85.149,,,,,
"Chambers Inlet",2021-09-22,4,,0.92,4.61,0.2,7.02,334.98,46.96,1.58,0.01,0.71,1.33,6.56,0.08,0.63,0.21,0,3.38,1092,2021,"CBRI","ROSS","40.57795281",-105.8572773,"Inflow","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.11067457970644089,90.13,,,,,
"Chambers Reservoir",2021-09-22,3.6,,0.91,5.51,0.18,7.13,393.6,43.34,1.6,0.02,0.83,0.99,4.04,0.07,0.63,0.04,0,3.48,1095,2021,"CBRR","ROSS","40.603457",-105.845931,"Reservoir","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.19135067209931075,87.814,,,,,
"Chambers Outflow",2021-09-22,3.5,,1.47,4.31,0.18,7.07,386.35,43.05,1.62,0.06,0.84,1,5.21,0.07,0.64,0,0,3.63,1096,2021,"CHD","ROSS","40.60233229",-105.8427286,"Outflow","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.19135067209931075,86.049,,,,,
"Joe Wright Inlet",2021-09-22,2.3,,0.1,4.05,0.13,7.33,691.02,71.48,3.34,0.02,0.66,1.65,6.98,0.09,2.12,0.2,0,3.22,1090,2021,"JOEI","ROSS","40.54013102",-105.8831698,"Inflow","Chambers Complex","Joe Wright Reservoir","Unburned",0.006530548628428928,0,95.264,,,,,
"Joe Wright Reservoir",2021-09-22,2.8,,1.77,3.34,0.15,7.05,355.97,49.47,1.55,0.01,0.67,1.45,7.06,0.1,0.51,0.06,0,3.99,1091,2021,"JOER","ROSS","40.55593744",-105.8749619,"Reservoir","Chambers Complex","Joe Wright Reservoir","Partially Burned",0.006530548628428928,0.048734263332836585,93.218,,,,,
"Long Draw Outlet",2021-09-22,6,,2.57,3.77,0.23,6.96,309.08,49.74,1.23,0.06,0.64,0.87,6.41,0.27,0.18,0.3,0,8.44,1086,2021,"LNGO","ROSS","40.50368571",-105.7709459,"Outflow","Longdraw","Long Draw Reservoir","Unburned",0,0,98.705,,,,,
"Long Draw Reservoir",2021-09-22,5.5,,2.27,4.31,0.28,6.97,309.51,48.47,1.21,0.03,0.65,0.9,5.66,0.27,0.17,0.31,0,8.41,1085,2021,"LNGR","ROSS","40.50087627",-105.7725307,"Reservoir","Longdraw","Long Draw Reservoir","Unburned",0,0,100.445,,,,,
"Peterson Outlet",2021-09-22,10.5,,3.55,4.06,0.32,7.04,338.97,42.77,2.6,0.06,1.41,0.47,3.68,0.06,1.33,0.13,0,3.75,1088,2021,"PTRO","ROSS","40.56063874",-105.7929021,"Outflow","Longdraw","Peterson Reservoir","Burned",0.32090379008746356,0.3055062638172439,91.236,,,,,
"Peterson Reservoir",2021-09-22,7.4,,1.12,4.73,0.52,6.8,200.15,37.59,1.79,0.13,1.43,0.52,3.12,0.03,1.07,0.12,0,7.84,1089,2021,"PTRR","ROSS","40.55936515",-105.7940034,"Reservoir","Longdraw","Peterson Reservoir","Burned",0.32090379008746356,0.3055062638172439,91.236,,,,,
"Barnes Meadow Outflow",2021-09-28,9.3,,2.05,6.11,0.6,7.03,349.87,56.95,2.4,0.28,1.29,1.07,5.01,0.05,1.74,0.04,0,7.73,1105,2021,"BMD","ROSS","40.600376",-105.836378,"Outflow","Chambers Complex","Barnes Meadow Reservoir","Burned",0.1845300397739167,0.4490768485927012,84.049,,,,,
"Barnes Meadow Reservoir",2021-09-28,3.2,,3.1,7.33,0.3,7.18,457.34,68.84,2.65,0.02,1.32,1.01,8.11,0.05,1.95,0.02,0,11.2,1106,2021,"BRNR","ROSS","40.599908",-105.830604,"Reservoir","Chambers Complex","Barnes Meadow Reservoir","Burned",0.1845300397739167,0.4490768485927012,85.149,,,,,
"Chambers Inlet",2021-09-28,3.6,,1.18,4.33,0.18,6.98,343.68,48.86,1.46,0.03,0.68,1.34,6.72,0.08,0.58,0.15,0,3.36,1104,2021,"CBRI","ROSS","40.57795281",-105.8572773,"Inflow","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.11067457970644089,90.13,,,,,
"Chambers Reservoir",2021-09-28,5,,0.72,5.22,0.17,7.08,391.67,43.46,1.57,0.04,0.83,0.93,4.43,0.07,0.61,0.01,0,3.58,1107,2021,"CBRR","ROSS","40.603457",-105.845931,"Reservoir","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.19135067209931075,87.814,,,,,
"Chambers Outflow",2021-09-28,3.1,,1.15,4.22,0.19,7.02,402.75,42.77,1.6,0.03,0.85,0.95,4.46,0.07,0.61,0.02,0,3.61,1108,2021,"CHD","ROSS","40.60233229",-105.8427286,"Outflow","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.19135067209931075,86.049,,,,,
"Joe Wright Inlet",2021-09-28,2,,0.5,3.89,0.14,7.49,713.06,68.41,3.64,0.03,0.62,1.49,6.14,0.1,1.97,0.1,0,2.76,1101,2021,"JOEI","ROSS","40.54013102",-105.8831698,"Inflow","Chambers Complex","Joe Wright Reservoir","Unburned",0.006530548628428928,0,95.264,,,,,
"Joe Wright Reservoir",2021-09-28,2.5,,1.45,3.51,0.15,6.98,361.96,50.49,1.43,0.02,0.64,1.41,6.93,0.1,0.51,0.01,0,3.85,1103,2021,"JOER","ROSS","40.55593744",-105.8749619,"Reservoir","Chambers Complex","Joe Wright Reservoir","Partially Burned",0.006530548628428928,0.048734263332836585,93.218,,,,,
"Long Draw Outlet",2021-09-28,10.6,,1.97,3.55,0.19,7,311.06,46.46,1.13,0.05,0.61,0.83,5.7,0.29,0.21,0.19,0,8.39,1098,2021,"LNGO","ROSS","40.50368571",-105.7709459,"Outflow","Longdraw","Long Draw Reservoir","Unburned",0,0,98.705,,,,,
"Long Draw Reservoir",2021-09-28,5.9,,1.69,4.29,0.3,6.97,293.01,45.88,1.15,0.06,0.61,0.9,5.12,0.29,0.24,0.2,0,8.32,1097,2021,"LNGR","ROSS","40.50087627",-105.7725307,"Reservoir","Longdraw","Long Draw Reservoir","Unburned",0,0,100.445,,,,,
"Peterson Outlet",2021-09-28,11.5,,3.25,4.06,0.31,7.12,335.4,42.07,2.6,0.09,1.3,0.47,3.53,0.05,1.33,0.02,0.03,3.79,1099,2021,"PTRO","ROSS","40.56063874",-105.7929021,"Outflow","Longdraw","Peterson Reservoir","Burned",0.32090379008746356,0.3055062638172439,91.236,,,,,
"Peterson Reservoir",2021-09-28,9.3,,0.8,5.22,0.49,6.77,181.45,39.35,1.68,0.13,1.33,0.53,3.95,0.05,1.05,0.09,0,7.93,1100,2021,"PTRR","ROSS","40.55936515",-105.7940034,"Reservoir","Longdraw","Peterson Reservoir","Burned",0.32090379008746356,0.3055062638172439,91.236,,,,,
"Poudre Above Joe Wright",2021-10-08,2.6,2.92,,4.99,0.3,7.16,341.42,43.78,1.38,0.04,0.58,0.91,4.45,0.06,0.4,0.63,0,4.93,1193,2021,"PJW","ROSS","40.634114",-105.807264,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,80.916,,,,,
"JWC-Joe Wright @ Aspen Glen Campground",2021-10-08,,,,5.22,0.21,7.28,458.66,47.75,1.85,0.06,0.75,1.03,5.44,0.04,0.64,0.27,0,2,1192,2021,"JWC","ROSS","40.61988",-105.81937,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,80.916,,,,,
"Poudre Below Rustic",2021-10-08,,,,6.01,0.28,7.54,547.39,56.18,2.05,0.03,0.82,1.08,5.8,0.04,0.81,0.34,0,4,1195,2021,"PBR","ROSS","40.700221",-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,47.262,,,,,
"Poudre Above North Fork",2021-10-08,,,,3.51,0.52,7.61,514.88,57.4,2.44,0.03,0.84,1.52,4.55,0.11,1.21,0.22,0,4.56,1199,2021,"PNF","ROSS","40.702459",-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,7.471,,,,,
"Poudre Below S. Fork",2021-10-08,,,,6.34,0.21,7.58,360.67,43.05,2.31,0.03,0.93,0.89,3.67,0.07,1.41,0.35,0,3.9,1197,2021,"PSF","ROSS","40.694953",-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,33.951,,,,,
"Poudre South Fork",2021-10-08,,,,6.51,0.29,7.26,454.81,43.97,2.21,0.04,0.61,0.9,3.8,0.04,0.51,0.3,0,1.73,1196,2021,"SFM","ROSS","40.61825",-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",,,53.476,,,,,
"Barnes Meadow Outflow",2021-10-13,10.5,22.18,1.97,5.98,0.57,7.2,372.75,62.07,2.54,0.21,1.29,1.07,5.75,0.05,1.8,0,0,10.81,1171,2021,"BMD","ROSS","40.600376",-105.836378,"Outflow","Chambers Complex","Barnes Meadow Reservoir","Burned",0.1845300397739167,0.4490768485927012,84.049,,,,,
"Barnes Meadow Reservoir",2021-10-13,5,4.3,4.6,7.09,0.34,7.24,476.04,74.96,2.61,0.03,1.27,1.09,8.05,0.07,1.87,0.01,0,10.62,1172,2021,"BRNR","ROSS","40.599908",-105.830604,"Reservoir","Chambers Complex","Barnes Meadow Reservoir","Burned",0.1845300397739167,0.4490768485927012,85.149,,,,,
"Chambers Inlet",2021-10-13,3.9,5.5,1.58,3.96,0.18,7.22,471.8,60.74,2.29,0.03,0.85,1.47,7.59,0.08,1.1,0.06,0,3.37,1170,2021,"CBRI","ROSS","40.57795281",-105.8572773,"Inflow","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.11067457970644089,90.13,,,,,
"Chambers Reservoir",2021-10-13,35.8,269.02,1.61,4.99,0.18,7.23,425.54,43.81,1.65,0.01,0.82,0.93,3.95,0.08,0.68,0.02,0,3.85,1174,2021,"CBRR","ROSS","40.603457",-105.845931,"Reservoir","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.19135067209931075,87.814,,,,,
"Chambers Outflow",2021-10-13,6.9,10,2.23,3.87,0.18,7.2,414.3,44.97,1.74,0.04,0.82,0.87,4.23,0.1,0.82,0.02,0,3.87,1175,2021,"CHD","ROSS","40.60233229",-105.8427286,"Outflow","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.19135067209931075,86.049,,,,,
"Joe Wright Inlet",2021-10-13,1.3,5.58,0.29,3.77,0.15,7.27,549.03,67.64,2.41,0.01,0.65,1.32,6.56,0.12,1.37,0.56,0,7.54,1168,2021,"JOEI","ROSS","40.54013102",-105.8831698,"Inflow","Chambers Complex","Joe Wright Reservoir","Unburned",0.006530548628428928,0,95.264,,,,,
"Joe Wright Reservoir",2021-10-13,4.5,12.68,2.78,3.23,0.15,7.18,394.35,51.46,1.5,0.01,0.63,1.44,6.59,0.09,0.57,0.01,0,3.87,1169,2021,"JOER","ROSS","40.55593744",-105.8749619,"Reservoir","Chambers Complex","Joe Wright Reservoir","Partially Burned",0.006530548628428928,0.048734263332836585,93.218,,,,,
"Long Draw Outlet",2021-10-13,14,12.96,1.05,3.41,0.2,7.01,329.23,46.64,1.74,0.09,0.77,0.99,5.27,0.22,0.35,0.15,0,6.41,1165,2021,"LNGO","ROSS","40.50368571",-105.7709459,"Outflow","Longdraw","Long Draw Reservoir","Unburned",0,0,98.705,,,,,
"Long Draw Reservoir",2021-10-13,12,2.83,2.18,4.31,0.27,6.98,290.69,44.06,1.22,0.02,0.61,0.82,4.93,0.26,0.23,0.21,0,7.66,1164,2021,"LNGR","ROSS","40.50087627",-105.7725307,"Reservoir","Longdraw","Long Draw Reservoir","Unburned",0,0,100.445,,,,,
"Peterson Outlet",2021-10-13,9.5,9.33,2.35,3.96,0.3,7.07,285.02,37.69,2.47,0.03,1.31,0.44,3.22,0.04,1.33,0.26,0,3.42,1166,2021,"PTRO","ROSS","40.56063874",-105.7929021,"Outflow","Longdraw","Peterson Reservoir","Burned",0.32090379008746356,0.3055062638172439,91.236,,,,,
"Peterson Reservoir",2021-10-13,11,5.58,1.53,5.41,0.47,6.89,192.31,39.53,1.73,0.12,1.31,0.51,3.51,0.04,1.08,0.13,0,7.82,1167,2021,"PTRR","ROSS","40.55936515",-105.7940034,"Reservoir","Longdraw","Peterson Reservoir","Burned",0.32090379008746356,0.3055062638172439,91.236,,,,,
"Barnes Meadow Outflow",2021-10-26,15,2.02,1.01,7.46,0.38,6.99,518.47,66.97,2.57,0.03,1.36,0.84,5.38,0.07,1.79,0.15,0,11.25,1211,2021,"BMD","ROSS","40.600376",-105.836378,"Outflow","Chambers Complex","Barnes Meadow Reservoir","Burned",0.1845300397739167,0.4490768485927012,84.049,,,,,
"Barnes Meadow Reservoir",2021-10-26,4,4,3.34,7.58,0.34,7.08,523.99,71.34,2.55,0.02,1.35,0.85,6.45,0.05,1.77,0.01,0,11.03,1212,2021,"BRNR","ROSS","40.599908",-105.830604,"Reservoir","Chambers Complex","Barnes Meadow Reservoir","Burned",0.1845300397739167,0.4490768485927012,85.149,,,,,
"Chambers Inlet",2021-10-26,3.5,23.06,1.22,4.67,0.2,7.24,541.29,60.19,2.3,0.01,0.93,1.38,6.18,0.08,1.06,0.3,0,3.66,1210,2021,"CBRI","ROSS","40.57795281",-105.8572773,"Inflow","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.11067457970644089,90.13,,,,,
"Chambers Reservoir",2021-10-26,5.5,1.82,2.08,4.33,0.18,7.15,459.11,44.74,1.69,0.01,0.9,0.71,3.65,0.08,0.76,0.09,0,4.08,1213,2021,"CBRR","ROSS","40.603457",-105.845931,"Reservoir","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.19135067209931075,87.814,,,,,
"Chambers Outflow",2021-10-26,3.5,1.82,2.41,4.49,0.2,7.19,468.46,46.51,1.74,0.01,0.92,0.73,3.73,0.07,0.75,0.09,0,4.12,1214,2021,"CHD","ROSS","40.60233229",-105.8427286,"Outflow","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.19135067209931075,86.049,,,,,
"Joe Wright Inlet",2021-10-26,1.5,3.44,0.28,4.14,0.24,7.12,582.73,64.39,2.24,0.01,0.65,1.07,4.95,0.18,0.92,0.68,0,9.47,1207,2021,"JOEI","ROSS","40.54013102",-105.8831698,"Inflow","Chambers Complex","Joe Wright Reservoir","Unburned",0.006530548628428928,0,95.264,,,,,
"Joe Wright Reservoir",2021-10-26,4,109.63,2.24,4.01,0.14,6.99,423.31,50.32,1.52,0.01,0.69,1.42,6.27,0.15,0.56,0.05,0,3.93,1209,2021,"JOER","ROSS","40.55593744",-105.8749619,"Reservoir","Chambers Complex","Joe Wright Reservoir","Partially Burned",0.006530548628428928,0.048734263332836585,93.218,,,,,
"Poudre Above Joe Wright",2021-11-05,,2.89,,2.82,0.47,7.45,273.76,35.64,2.1,0.02,0.64,0.61,2.6,0.05,0.83,1.24,0,3.69,1242,2021,"PJW","ROSS","40.634114",-105.807264,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,80.916,,,,,
"JWC-Joe Wright @ Aspen Glen Campground",2021-11-05,,,,3.76,0.2,7.25,467.04,47.29,1.94,0.05,0.9,0.74,3.69,0.07,1.04,0.15,0,4.25,1241,2021,"JWC","ROSS","40.61988",-105.81937,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,80.916,,,,,
"Poudre Below Rustic",2021-11-05,,,,4.06,0.25,7.35,396.57,53.84,3.7,0.03,1.04,1.16,4.25,0.05,1.69,0.35,0,4.75,1246,2021,"PBR","ROSS","40.700221",-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,47.262,,,,,
"Poudre Above North Fork",2021-11-05,,,,4.51,0.18,7.6,563.48,61.47,2.46,0.01,1.09,1.84,4.46,0.16,1.08,0.07,0,5.53,1249,2021,"PNF","ROSS","40.702459",-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,7.471,,,,,
"Poudre Below S. Fork",2021-11-05,,,,3.9,0.2,7.51,381.79,51.52,3.76,0.02,0.95,1.11,4.14,0.09,1.63,0.23,0,4.59,1245,2021,"PSF","ROSS","40.694953",-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,33.951,,,,,
"Poudre South Fork",2021-11-05,,,,2.81,0.26,7.59,359.06,39.13,3.22,0.01,0.6,0.71,2.6,0.08,0.69,0.52,0,2.95,1247,2021,"SFM","ROSS","40.61825",-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",,,53.476,,,,,
"Poudre Above Joe Wright",2021-11-29,,,,2.68,0.52,7.34,284.01,39.08,2.83,0.04,0.67,0.66,2.91,0.08,0.82,1.63,0,3.7,1264,2021,"PJW","ROSS","40.634114",-105.807264,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,80.916,,,,,
"JWC-Joe Wright @ Aspen Glen Campground",2021-11-29,,,,3.84,0.18,6.99,439.46,51.8,2.18,0.03,0.98,0.85,4.34,0.06,1.13,0.03,0,4.4,1263,2021,"JWC","ROSS","40.61988",-105.81937,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,80.916,,,,,
"Poudre Below Rustic",2021-11-29,,,,3.91,0.3,7.3,435.73,60.89,3.76,0.05,1.08,1.24,4.5,0.05,1.73,0.49,0,4.84,1266,2021,"PBR","ROSS","40.700221",-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,47.262,,,,,
"Poudre Below S. Fork",2021-11-29,,,,3.98,0.26,7.21,376.08,54.74,4.01,0.03,1.11,1.26,4.65,0.11,1.88,0.36,0,5.07,1268,2021,"PSF","ROSS","40.694953",-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,33.951,,,,,
"Poudre South Fork",2021-11-29,,,,2.71,0.29,7.58,360.91,38.94,2.94,0.05,0.61,0.74,2.69,0.08,0.68,0.55,0,2.99,1267,2021,"SFM","ROSS","40.61825",-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",,,53.476,,,,,
"Poudre Above North Fork",2021-12-03,,,,2.17,0.15,7.51,390.52,47.56,2.61,0.01,0.93,1.62,4.1,0.07,0.94,0.11,0,1.85,1280,2021,"PNF","ROSS","40.702459",-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,7.471,,,,,
"Poudre Above Joe Wright",2021-12-14,,0,,2.69,0.56,7.38,335.82,41.67,2.48,0.02,0.64,0.65,2.9,0.07,0.81,1.64,0,3.51,1282,2021,"PJW","ROSS","40.634114",-105.807264,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,80.916,,,,,
"JWC-Joe Wright @ Aspen Glen Campground",2021-12-14,,,,3.91,0.25,7.52,482.43,56.7,2.09,0.01,0.91,0.84,4.12,0.06,1.13,0.05,0,4.57,1281,2021,"JWC","ROSS","40.61988",-105.81937,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,80.916,,,,,
"Poudre Below Rustic",2021-12-14,,,,4.34,0.36,7.61,639.28,67.39,3.3,0.02,1.15,1.28,4.83,0.09,1.82,0.56,0,5.23,1284,2021,"PBR","ROSS","40.700221",-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,47.262,,,,,
"Poudre Below S. Fork",2021-12-14,,,,4.2,0.31,7.65,599.27,64.76,3.47,0.02,1.09,1.26,4.71,0.09,1.87,0.54,0,5.39,1287,2021,"PSF","ROSS","40.694953",-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,33.951,,,,,
